feature,importance,fold
NAME_INCOME_TYPE_Unemployed,0.014714786536614087,2
NAME_INCOME_TYPE_Working,0.32176636046162677,2
NAME_EDUCATION_TYPE_Academic degree,0.010402497242286379,2
NAME_EDUCATION_TYPE_Higher education,1.3900115817074097,2
NAME_EDUCATION_TYPE_Incomplete higher,0.016541603332582783,2
NAME_EDUCATION_TYPE_Lower secondary,0.06294569234740233,2
NAME_EDUCATION_TYPE_Secondary / secondary special,0.3168819241958474,2
NAME_FAMILY_STATUS_Civil marriage,0.037720697637033423,2
NAME_FAMILY_STATUS_Married,0.6778886951241899,2
NAME_FAMILY_STATUS_Separated,0.05189349660558752,2
NAME_FAMILY_STATUS_Single / not married,0.04954685700113534,2
NAME_FAMILY_STATUS_Widow,0.07383786345182149,2
NAME_HOUSING_TYPE_Co-op apartment,0.007198714215216533,2
NAME_HOUSING_TYPE_House / apartment,0.14988282778762915,2
NAME_HOUSING_TYPE_Municipal apartment,0.2223723811085278,2
NAME_HOUSING_TYPE_Office apartment,0.061319447961688936,2
NAME_HOUSING_TYPE_Rented apartment,0.027375774509829757,2
NAME_HOUSING_TYPE_With parents,0.0029555210049109736,2
OCCUPATION_TYPE_Accountants,0.09068910667743736,2
OCCUPATION_TYPE_Cleaning staff,0.060202910172207205,2
OCCUPATION_TYPE_Cooking staff,0.011666585681856302,2
OCCUPATION_TYPE_Core staff,0.3412863770575626,2
OCCUPATION_TYPE_Drivers,0.1488246163865762,2
OCCUPATION_TYPE_HR staff,0.0076683322973652495,2
OCCUPATION_TYPE_High skill tech staff,0.1564406034823535,2
OCCUPATION_TYPE_IT staff,0.0010103322445436096,2
OCCUPATION_TYPE_Laborers,0.09448600275826301,2
OCCUPATION_TYPE_Low-skill Laborers,0.018619041928717776,2
OCCUPATION_TYPE_Managers,0.017154239105217645,2
OCCUPATION_TYPE_Medicine staff,0.14911684489638546,2
OCCUPATION_TYPE_Private service staff,0.015140211835195674,2
OCCUPATION_TYPE_Realty agents,0.0057078129507763435,2
OCCUPATION_TYPE_Sales staff,0.039623131687478844,2
OCCUPATION_TYPE_Secretaries,0.038178811180469285,2
OCCUPATION_TYPE_Security staff,0.029152640208125795,2
OCCUPATION_TYPE_Waiters/barmen staff,0.003192287938872657,2
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.025849756968581036,2
WEEKDAY_APPR_PROCESS_START_MONDAY,0.1603174546468734,2
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.08402735077972527,2
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.07207237423580284,2
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0475756629952151,2
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.1283305515487214,2
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.06639695544230084,2
ORGANIZATION_TYPE_Advertising,0.008577262965927725,2
ORGANIZATION_TYPE_Agriculture,0.009799876392987664,2
ORGANIZATION_TYPE_Bank,0.08375067709841572,2
ORGANIZATION_TYPE_Business Entity Type 1,0.01730876447175005,2
ORGANIZATION_TYPE_Business Entity Type 2,0.009127500521854872,2
ORGANIZATION_TYPE_Business Entity Type 3,0.04721262360400559,2
ORGANIZATION_TYPE_Cleaning,0.0,2
ORGANIZATION_TYPE_Construction,0.20200288227979488,2
ORGANIZATION_TYPE_Culture,0.016590126660546982,2
ORGANIZATION_TYPE_Electricity,0.0012776002553511676,2
ORGANIZATION_TYPE_Emergency,0.0005901934790892923,2
ORGANIZATION_TYPE_Government,0.024408171578271593,2
ORGANIZATION_TYPE_Hotel,0.04516007703596595,2
ORGANIZATION_TYPE_Housing,0.023288890331774705,2
ORGANIZATION_TYPE_Industry: type 1,0.008945918984035212,2
ORGANIZATION_TYPE_Industry: type 10,0.003061799866247448,2
ORGANIZATION_TYPE_Industry: type 11,0.010225664421606653,2
ORGANIZATION_TYPE_Industry: type 12,0.017208223913924445,2
ORGANIZATION_TYPE_Industry: type 13,0.0,2
ORGANIZATION_TYPE_Industry: type 2,0.010623958669624633,2
ORGANIZATION_TYPE_Industry: type 3,0.0008104468492002357,2
ORGANIZATION_TYPE_Industry: type 4,0.0034548386882300654,2
ORGANIZATION_TYPE_Industry: type 5,0.008449136459329808,2
ORGANIZATION_TYPE_Industry: type 6,0.0,2
ORGANIZATION_TYPE_Industry: type 7,0.004629307385958938,2
ORGANIZATION_TYPE_Industry: type 8,0.0,2
ORGANIZATION_TYPE_Industry: type 9,0.16030453248543058,2
ORGANIZATION_TYPE_Insurance,0.007979796911184882,2
ORGANIZATION_TYPE_Kindergarten,0.0600890581995059,2
ORGANIZATION_TYPE_Legal Services,0.018948354267862746,2
ORGANIZATION_TYPE_Medicine,0.018960500637801227,2
ORGANIZATION_TYPE_Military,0.16554964654761065,2
ORGANIZATION_TYPE_Mobile,0.0007269426996131227,2
ORGANIZATION_TYPE_Other,0.04016431156178169,2
ORGANIZATION_TYPE_Police,0.09735973225925133,2
ORGANIZATION_TYPE_Postal,0.019996289411080538,2
ORGANIZATION_TYPE_Realtor,0.07390714779206733,2
ORGANIZATION_TYPE_Religion,0.0,2
ORGANIZATION_TYPE_Restaurant,0.029806218831115,2
ORGANIZATION_TYPE_School,0.05267830463032217,2
ORGANIZATION_TYPE_Security,0.0018049199770860187,2
ORGANIZATION_TYPE_Security Ministries,0.11891555733266615,2
ORGANIZATION_TYPE_Self-employed,0.14923794674214697,2
ORGANIZATION_TYPE_Services,0.018172252955364655,2
ORGANIZATION_TYPE_Telecom,0.020378554259533884,2
ORGANIZATION_TYPE_Trade: type 1,0.0,2
ORGANIZATION_TYPE_Trade: type 2,0.11783724975832197,2
ORGANIZATION_TYPE_Trade: type 3,0.016435066172715257,2
ORGANIZATION_TYPE_Trade: type 4,0.003758911731958879,2
ORGANIZATION_TYPE_Trade: type 5,0.0,2
ORGANIZATION_TYPE_Trade: type 6,0.010974490702207655,2
ORGANIZATION_TYPE_Trade: type 7,0.013851232964847478,2
ORGANIZATION_TYPE_Transport: type 1,0.0003782019771425405,2
ORGANIZATION_TYPE_Transport: type 2,0.014315789285712388,2
ORGANIZATION_TYPE_Transport: type 3,0.12688354015447414,2
ORGANIZATION_TYPE_Transport: type 4,0.006818399000153002,2
ORGANIZATION_TYPE_University,0.007049361484427667,2
ORGANIZATION_TYPE_XNA,0.001961593088520388,2
FONDKAPREMONT_MODE_not specified,0.028043767444648718,2
FONDKAPREMONT_MODE_org spec account,0.03269306060182308,2
FONDKAPREMONT_MODE_reg oper account,0.018892656138597457,2
FONDKAPREMONT_MODE_reg oper spec account,0.04602910301603387,2
HOUSETYPE_MODE_block of flats,0.004736696137177749,2
HOUSETYPE_MODE_specific housing,0.01117550998027486,2
HOUSETYPE_MODE_terraced house,0.001023401174346253,2
WALLSMATERIAL_MODE_Block,0.009204590125050828,2
WALLSMATERIAL_MODE_Mixed,0.0027514110285175976,2
WALLSMATERIAL_MODE_Monolithic,0.0021365193130721094,2
WALLSMATERIAL_MODE_Others,0.04895233806151225,2
WALLSMATERIAL_MODE_Panel,0.10245880589815773,2
